,TRADE_DATE_BEGIN,GEN_DAILY,CODIGO_SIC,PORCENTAJE
0,2023-01-01,8064.320000000001,EPSG,0.00011233088434416385
1,2023-01-02,7546.879999999999,EPSG,0.0001051232719484449
2,2023-01-03,5806.46,EPSG,8.088032056131374e-05
3,2023-01-04,7617.280000000001,EPSG,0.00010610389948527742
4,2023-01-05,7617.280000000001,EPSG,0.00010610389948527742
5,2023-01-06,7104.24,EPSG,9.89575763106105e-05
6,2023-01-07,3601.3999999999996,EPSG,5.0165227431088006e-05
7,2023-01-08,3883.88,EPSG,5.409999542262845e-05
8,2023-01-09,7633.780000000001,EPSG,0.00010633373406422255
9,2023-01-10,6544.56,EPSG,9.116158739279207e-05
10,2023-01-11,4763.219999999999,EPSG,6.634864624987699e-05
11,2023-01-12,3327.06,EPSG,4.6343844498493826e-05
12,2023-01-13,6609.460000000001,EPSG,9.206560340330954e-05
13,2023-01-14,10134.960000000001,EPSG,0.00014117359177125
14,2023-01-15,12627.119999999999,EPSG,0.00017588780657512077
15,2023-01-16,14378.099999999997,EPSG,0.0002002778520927768
16,2023-01-17,10906.94,EPSG,0.00015192678560482897
17,2023-01-18,7979.839999999999,EPSG,0.00011115413129996482
18,2023-01-19,7182.120000000001,EPSG,0.00010004239552323148
19,2023-01-20,7955.64,EPSG,0.00011081704058417866
20,2023-01-21,9033.2,EPSG,0.00012582677081982125
21,2023-01-22,6174.5199999999995,EPSG,8.600716390231619e-05
22,2023-01-23,6829.459999999998,EPSG,9.51300644559111e-05
23,2023-01-24,3684.1199999999994,EPSG,5.13174647868662e-05
24,2023-01-25,9847.64,EPSG,0.00013717140563655232
25,2023-01-26,9233.4,EPSG,0.00012861543037768867
26,2023-01-27,9613.999999999998,EPSG,0.0001339169479986894
27,2023-01-28,10985.26,EPSG,0.00015301773373955515
28,2023-01-29,12602.04,EPSG,0.0001755384580151242
29,2023-01-30,9714.54,EPSG,0.00013531740669972837
30,2023-01-31,13211.220000000001,EPSG,0.00018402395066977802
31,2023-02-01,9800.560000000001,EPSG,0.00013651561097129559
32,2023-02-02,10181.599999999999,EPSG,0.0001418232575144015
33,2023-02-03,7375.280000000001,EPSG,0.00010273299232741568
34,2023-02-04,9301.599999999999,EPSG,0.00012956541330399516
35,2023-02-05,9997.46,EPSG,0.00013925830361337399
36,2023-02-06,10208.219999999998,EPSG,0.00014219405730176628
37,2023-02-07,6987.419999999999,EPSG,9.733034749167906e-05
38,2023-02-08,5347.1,EPSG,7.448172588348163e-05
39,2023-02-09,6237.22,EPSG,8.688053530230764e-05
40,2023-02-10,9441.74,EPSG,0.00013151747499450238
41,2023-02-11,7983.580000000001,EPSG,0.00011120622713785906
42,2023-02-12,5440.16,EPSG,7.577799290873208e-05
43,2023-02-13,5503.080000000001,EPSG,7.665442876977616e-05
44,2023-02-14,5260.639999999999,EPSG,7.327739268980919e-05
45,2023-02-15,9361.0,EPSG,0.0001303928177881976
46,2023-02-16,3305.0599999999995,EPSG,4.6037398393233665e-05
47,2023-02-17,9566.04,EPSG,0.0001332488954892223
48,2023-02-18,7889.200000000001,EPSG,0.00010989157334629299
49,2023-02-19,6814.9400000000005,EPSG,9.492781002643942e-05
50,2023-02-20,2537.92,EPSG,3.535162270281193e-05
51,2023-02-21,2215.84,EPSG,3.08652517218032e-05
52,2023-02-22,570.9,EPSG,7.952276431501122e-06
53,2023-02-23,8563.939999999999,EPSG,0.00011929027539462203
54,2023-02-24,8849.06,EPSG,0.0001232618169187937
55,2023-02-25,9592.44,EPSG,0.0001336166308155345
56,2023-02-26,8721.9,EPSG,0.00012149055843038999
57,2023-02-27,9822.119999999999,EPSG,0.00013681592815445052
58,2023-02-28,11240.9,EPSG,0.00015657863748267818
59,2023-03-01,5182.320000000001,EPSG,7.218644455508303e-05
60,2023-03-02,5468.759999999999,EPSG,7.617637284557029e-05
61,2023-03-03,4346.320000000001,EPSG,6.0541492555196996e-05
62,2023-03-04,7290.36,EPSG,0.00010155011036111145
63,2023-03-05,4837.360000000001,EPSG,6.738136962460375e-05
64,2023-03-06,9460.22,EPSG,0.0001317748897229209
65,2023-03-07,5166.699999999999,EPSG,7.19688678203483e-05
66,2023-03-08,4988.28,EPSG,6.948358990668842e-05
67,2023-03-09,4186.82,EPSG,5.831975829206083e-05
68,2023-03-10,3752.76,EPSG,5.2273576635277904e-05
69,2023-03-11,2613.16,EPSG,3.639966838280167e-05
70,2023-03-12,6314.659999999999,EPSG,8.79592255928234e-05
71,2023-03-13,3428.2599999999998,EPSG,4.775349658269056e-05
72,2023-03-14,5018.419999999999,EPSG,6.990342107089484e-05
73,2023-03-15,9660.64,EPSG,0.00013456661374184096
74,2023-03-16,6040.979999999999,EPSG,8.4147036043387e-05
75,2023-03-17,9867.0,EPSG,0.00013744107820918127
76,2023-03-18,7874.900000000001,EPSG,0.00010969238337787389
77,2023-03-19,10451.539999999999,EPSG,0.00014558335122594367
78,2023-03-20,12328.8,EPSG,0.00017173239738779302
79,2023-03-21,10506.1,EPSG,0.00014634333756698888
80,2023-03-22,9143.419999999998,EPSG,0.0001273620658071746
81,2023-03-23,7261.319999999999,EPSG,0.00010114560150216803
82,2023-03-24,2407.4600000000005,EPSG,3.3534397298619196e-05
83,2023-03-25,9148.7,EPSG,0.0001274356128724371
84,2023-03-26,5690.3,EPSG,7.92622851255401e-05
85,2023-03-27,3635.5,EPSG,5.064021889424126e-05
86,2023-03-28,9654.04,EPSG,0.00013447467991026292
87,2023-03-29,7827.38,EPSG,0.00010903045979051193
